code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
MIAL5,Mirabilis alipes (S. Watson) Pilz,winged four o'clock,Nyctaginaceae,PF,PF
MESP2,Menodora spinescens A. Gray,spiny menodora,Oleaceae,SH,SH
CACO34,Camissonia contorta (Douglas ex Lehm.) Kearney,plains evening primrose,Onagraceae,AF,AF
CAMI23,Camissonia minor (A. Nelson) P.H. Raven,small evening primrose,Onagraceae,AF,AF
CAPU16,Camissonia pusilla P.H. Raven,little wiry suncup,Onagraceae,AF,AF
EPBR3,Epilobium brachycarpum C. Presl,tall annual willowherb,Onagraceae,AF,AF
GADI2,Gayophytum diffusum Torr. & A. Gray,spreading groundsmoke,Onagraceae,AF,AF
GARA2,Gayophytum ramosissimum Torr. & A. Gray,pinyon groundsmoke,Onagraceae,AF,AF
OEAL,Oenothera albicaulis Pursh,whitest evening primrose,Onagraceae,AF,AF
OECA10,Oenothera caespitosa Nutt.,tufted evening primrose,Onagraceae,PF,PF
OEPA,Oenothera pallida Lindl.,pale evening primrose,Onagraceae,PF,PF
OESU3,Oenothera suffrutescens (Ser.) W.L. Wagner & Hoch,scarlet beeblossom,Onagraceae,PF,PF
ORCO5,Orobanche corymbosa (Rydb.) Ferris,flat-top broomrape,Orobanchaceae,AF,AF
ORFA,Orobanche fasciculata Nutt.,clustered broomrape,Orobanchaceae,AF,AF
ORLU,Orobanche ludoviciana Nutt.,Louisiana broomrape,Orobanchaceae,AF,AF
CAAU2,Canbya aurea S. Watson,golden pygmypoppy,Papaveraceae,AF,AF
PIMO,Pinus monophylla Torr. & Fr̩m.,singleleaf pinyon,Pinaceae,TR,TR
PIPO,Pinus ponderosa Lawson & C. Lawson,ponderosa pine,Pinaceae,TR,TR
PSME,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir,Pinaceae,TR,TR
PENSTPF,Penstemon Schmidel,beardtongue,Plantaginaceae,PF,PF
PLPA2,Plantago patagonica Jacq.,woolly plantain,Plantaginaceae,AF,AF
